topic_0,topic_1,topic_2,topic_3,topic_4,label
0.004715169,0.45758343,0.52813756,0.00476406,0.0047998545,alcohol_1
0.015700903,0.47394058,0.01545951,0.47919622,0.015702823,alcohol_1
0.007792241,0.0077923913,0.007846764,0.9688383,0.007730378,alcohol_1
0.018229222,0.9264449,0.018241705,0.018765211,0.01831898,alcohol_0
0.01060888,0.010570882,0.010639601,0.95758486,0.010595721,alcohol_1
0.0023308026,0.99062675,0.0023692113,0.0023414078,0.0023318122,alcohol_0
0.01005787,0.010456531,0.3956723,0.010216046,0.57359725,alcohol_0
0.0041169394,0.5478752,0.43968278,0.004172981,0.004152081,alcohol_0
0.01668104,0.9329813,0.016742608,0.016848754,0.016746288,alcohol_1
0.00449973,0.9819619,0.0044906647,0.0044804625,0.004567182,alcohol_0
0.011966863,0.95203924,0.012115919,0.011892656,0.011985299,alcohol_0
0.028757589,0.68183106,0.028918486,0.23049761,0.02999522,alcohol_0
0.010737009,0.69927776,0.010801395,0.2685031,0.0106808,alcohol_0
0.15247858,0.58545125,0.018311063,0.018390914,0.22536817,alcohol_0
0.004727275,0.004772667,0.004729179,0.14614518,0.83962566,alcohol_1
0.0031578077,0.003201002,0.0031589875,0.98732233,0.0031599153,alcohol_1
0.011191714,0.0111918505,0.011160746,0.955301,0.011154716,alcohol_1
0.004439089,0.45208418,0.0044013592,0.22726604,0.31180936,alcohol_0
0.006532488,0.37496254,0.39318398,0.218756,0.006565033,alcohol_1
0.15587042,0.6447547,0.014402863,0.18273251,0.0022395055,alcohol_1
0.028741553,0.8827834,0.030556435,0.02861661,0.02930201,alcohol_0
0.010327342,0.40473172,0.39560884,0.17894907,0.0103830015,alcohol_0
0.016679095,0.93282086,0.016756183,0.016912019,0.01683181,alcohol_1
0.008575945,0.70636743,0.008443715,0.26816666,0.008446294,alcohol_1
0.018215103,0.018724225,0.01835856,0.92632186,0.01838027,alcohol_1
0.040571652,0.040258676,0.040206637,0.83894444,0.04001855,alcohol_0
0.0667243,0.7313585,0.067612395,0.067334026,0.06697075,alcohol_1
0.004309179,0.0043922532,0.004311166,0.9826176,0.00436983,alcohol_0
0.015404156,0.93798697,0.015416207,0.01567122,0.015521462,alcohol_0
0.014372588,0.19303916,0.014303842,0.7638873,0.014397095,alcohol_1
0.011198229,0.95504534,0.011204562,0.011283765,0.011268114,alcohol_1
0.003943353,0.8575673,0.003986439,0.003958336,0.13054456,alcohol_0
0.009656207,0.8717249,0.009685638,0.009686782,0.09924646,alcohol_1
0.009106065,0.009167036,0.009100741,0.9634945,0.009131688,alcohol_1
0.005386317,0.44333953,0.0053707976,0.0054047513,0.5404986,alcohol_0
0.05001283,0.79822916,0.05006648,0.05091121,0.05078032,alcohol_1
0.008444162,0.66116816,0.18237926,0.008586075,0.13942231,alcohol_0
0.00817518,0.008217685,0.44693777,0.5285795,0.008089914,alcohol_1
0.0019497635,0.60971886,0.0019656862,0.0019531071,0.3844126,alcohol_0
0.003102759,0.0031606944,0.82680863,0.0031817174,0.16374616,alcohol_1
0.0337163,0.65314394,0.03369698,0.033463348,0.24597938,alcohol_0
0.033658482,0.034335677,0.033569816,0.03467937,0.8637566,alcohol_0
0.23424365,0.5242369,0.0028732552,0.23574759,0.0028985802,alcohol_0
0.050259978,0.05091142,0.050560497,0.45679915,0.39146894,alcohol_0
0.05019565,0.051109318,0.054455347,0.05013951,0.7941002,alcohol_0
0.0036427723,0.98547673,0.00361556,0.0036378663,0.0036270586,alcohol_0
0.01676882,0.67807114,0.016840948,0.017517678,0.27080137,alcohol_0
0.12441812,0.5805403,0.0020980798,0.29082772,0.0021158531,alcohol_0
0.040809378,0.040930577,0.040039763,0.040749647,0.8374706,alcohol_1
0.015582022,0.015677154,0.015796775,0.37741765,0.5755264,alcohol_0
0.0113362735,0.64514184,0.011567369,0.011417386,0.3205371,alcohol_0
0.03354396,0.5142203,0.0333755,0.38507247,0.0337878,alcohol_0
0.012718065,0.9489481,0.012686886,0.012772834,0.012874095,alcohol_0
0.01826528,0.018739076,0.01823389,0.018445488,0.92631626,alcohol_0
0.025415845,0.427589,0.4959589,0.025342276,0.025694009,alcohol_0
0.040240247,0.2856249,0.040160894,0.22856805,0.40540594,alcohol_0
0.02506187,0.7338307,0.025525551,0.18961012,0.025971761,alcohol_0
0.00582642,0.67116576,0.07593811,0.17403084,0.07303892,alcohol_1
0.04015952,0.04010927,0.04062064,0.040457137,0.8386534,alcohol_0
0.040011857,0.8390098,0.04001934,0.040142033,0.040816985,alcohol_0
0.010681956,0.23302042,0.010739672,0.010778985,0.73477894,alcohol_0
0.025091074,0.66675293,0.25692868,0.025405386,0.025821874,alcohol_0
0.067178026,0.45593393,0.06675564,0.34307748,0.06705494,alcohol_0
0.015449982,0.9382263,0.015427293,0.015450179,0.015446213,alcohol_0
0.018425968,0.24595152,0.018240573,0.018379128,0.69900286,alcohol_0
0.0045042457,0.98192066,0.0044794637,0.00457671,0.0045189178,alcohol_0
0.013482918,0.01392481,0.610657,0.34828493,0.013650405,alcohol_0
0.013715035,0.013892872,0.013455956,0.6354028,0.32353333,alcohol_1
0.008792486,0.008823592,0.008781803,0.96475345,0.008848638,alcohol_1
0.011867826,0.34432757,0.11587264,0.012086884,0.5158451,alcohol_0
0.022883331,0.20794035,0.022434643,0.022662291,0.7240794,alcohol_0
0.012660814,0.012660143,0.012632639,0.94930017,0.0127462745,alcohol_1
0.20920873,0.5570775,0.009215716,0.009193741,0.21530432,alcohol_0
0.06667002,0.73165303,0.06720502,0.066670485,0.06780146,alcohol_0
0.01847911,0.018338995,0.545174,0.018398516,0.3996094,alcohol_0
0.050074473,0.79883564,0.050347995,0.05026186,0.050480045,alcohol_1
0.48032114,0.005792083,0.3822096,0.0057870196,0.12589023,dvi
0.9838951,0.0039989413,0.004119903,0.0039618067,0.004024177,dvi
0.8839383,0.029103832,0.02865338,0.028675588,0.02962887,dvi
0.5977932,0.10158346,0.100011446,0.10001548,0.1005964,dvi
0.02892337,0.028662069,0.029160896,0.028581465,0.88467216,dvi
0.011113887,0.010568636,0.010657345,0.010630574,0.9570295,dvi
0.072760336,0.0044096527,0.004369845,0.004467744,0.9139924,dvi
0.41629905,0.004784854,0.004878035,0.004856864,0.56918114,dvi
0.005877477,0.0058272523,0.005820919,0.005749325,0.976725,dvi
0.0093073575,0.009158619,0.0091602625,0.009130205,0.96324354,dvi
0.0034791809,0.003439799,0.0034287202,0.0034315037,0.9862208,dvi
0.26433447,0.0028672572,0.0029202201,0.0028761162,0.72700197,dvi
0.0019930056,0.0019820256,0.0019949737,0.001983183,0.99204683,dvi
0.010274928,0.01017029,0.010275912,0.010081385,0.95919746,dvi
0.011367745,0.20003486,0.011349475,0.011479098,0.76576877,dvi
0.003593243,0.0035483635,0.0035403306,0.0035370258,0.9857811,dvi
0.0075743664,0.0074992785,0.007505584,0.007509087,0.9699117,dvi
0.0058637806,0.005811933,0.20025009,0.0058683483,0.7822059,dvi
0.36284712,0.016709687,0.016747998,0.016977903,0.5867173,dvi
0.035631854,0.033508092,0.033533193,0.03349915,0.8638277,dvi
0.007046393,0.006939945,0.006999644,0.0069816336,0.9720324,dvi
0.029079193,0.028931983,0.029260632,0.028676828,0.8840514,dvi
0.9488771,0.012811267,0.012849628,0.012557696,0.012904292,dvi
0.79835755,0.0021380521,0.11806333,0.0021359313,0.07930516,dvi
0.0074453326,0.0029200807,0.0030211678,0.0029136876,0.9836998,dvi
0.97977084,0.005031723,0.0050632297,0.005010904,0.005123326,dvi
0.020219592,0.020207584,0.020271746,0.020031225,0.9192699,dvi
0.0036542944,0.0035691848,0.15799554,0.0035239207,0.83125705,dvi
0.9855409,0.0036013313,0.0036050696,0.0035845058,0.0036681625,dvi
0.4614556,0.047804285,0.0022968312,0.0023161245,0.48612714,dvi
0.015732596,0.015565973,0.015542041,0.015404428,0.9377549,dvi
0.02925401,0.02860883,0.029165534,0.43318167,0.47978994,dvi
0.9797726,0.005026863,0.005053118,0.005067443,0.00507992,dvi
0.41700733,0.009833168,0.009594105,0.009537486,0.5540279,dvi
0.982026,0.004476415,0.0044981777,0.0044774916,0.004521936,dvi
0.991356,0.0021587983,0.002151605,0.0021523861,0.0021811877,dvi
0.040794495,0.04011623,0.04000284,0.040003557,0.8390829,dvi
0.004581008,0.0045685717,0.004515534,0.0044730557,0.9818618,dvi
0.01681371,0.016973771,0.016844183,0.016886545,0.93248177,dvi
0.9244754,0.0017728595,0.0017945638,0.0017784518,0.0701787,dvi
0.0022324368,0.0021976253,0.0022036887,0.002206417,0.99115986,dvi
0.5933092,0.022357114,0.022323582,0.022227319,0.3397827,dvi
0.020458275,0.020063298,0.020096384,0.020364417,0.9190176,dvi
0.9187616,0.020227786,0.020552235,0.020061862,0.020396492,dvi
0.9264507,0.018239489,0.018403685,0.01848209,0.018424008,dvi
0.7811053,0.012592081,0.0127228,0.013012984,0.18056685,dvi
0.0143949,0.0143904025,0.0143413935,0.014514424,0.9423589,dvi
0.025843104,0.025196204,0.025054611,0.02522618,0.8986799,dvi
0.009346548,0.009172594,0.009151249,0.009142086,0.96318746,dvi
0.009799462,0.0095955925,0.009638239,0.009530031,0.9614367,dvi
0.007640515,0.007480459,0.007509059,0.0074795,0.9698904,dvi
0.0050237263,0.004918378,0.0049412404,0.0049315616,0.98018515,dvi
0.0118985055,0.012024688,0.011928133,0.011843416,0.95230526,dvi
0.94955593,0.01257141,0.01262632,0.012522358,0.012723944,dvi
0.035844367,0.03339596,0.03367284,0.033401914,0.8636849,dvi
0.33960637,0.004295658,0.0043097907,0.0042698844,0.6475183,dvi
0.13749829,0.0024708621,0.069449194,0.002468348,0.7881133,dvi
0.49287933,0.05889084,0.0028350465,0.0028182953,0.44257656,dvi
0.8183161,0.016789462,0.016755642,0.13118361,0.016955141,dvi
0.0042019393,0.004176186,0.4318143,0.004138591,0.555669,dvi
0.95942736,0.01008279,0.010145061,0.010153409,0.0101913335,dvi
0.8380826,0.040368617,0.040329367,0.040189832,0.041029572,dvi
0.59604603,0.10002541,0.10159323,0.10001745,0.10231785,dvi
0.28045437,0.033987287,0.033559166,0.033536382,0.61846286,dvi
0.069162846,0.06696611,0.06764569,0.0667497,0.7294756,dvi
0.12941493,0.22037795,0.42976484,0.09614815,0.12429409,forensic
0.029307866,0.028604684,0.52588624,0.028587585,0.38761362,forensic
0.06687355,0.06667143,0.7319912,0.066678315,0.06778548,forensic
0.040217232,0.04174668,0.04161989,0.04101338,0.8354028,forensic
0.80490214,0.0029023867,0.08045357,0.0029164741,0.10882541,forensic
0.11973261,0.0038992113,0.86855644,0.0038989922,0.0039127534,forensic
0.94583315,0.0134974215,0.013543274,0.013393751,0.013732406,forensic
0.0066320193,0.0064858003,0.9738648,0.006480053,0.006537283,forensic
0.59835035,0.10001023,0.10155354,0.1000135,0.10007239,forensic
0.72627366,0.02519183,0.19790423,0.025314435,0.02531585,forensic
0.066952236,0.06723541,0.73200846,0.067104265,0.066699654,forensic
0.48079228,0.0015977913,0.5143953,0.0016030954,0.0016115522,forensic
0.04030336,0.04016377,0.8393497,0.04012225,0.040060885,forensic
0.040253554,0.5265289,0.35213354,0.04072321,0.040360745,forensic
0.35391843,0.041330215,0.5890014,0.007868707,0.007881259,forensic
0.0015710933,0.0015691174,0.9936946,0.0015760245,0.0015891688,forensic
0.014582937,0.45443493,0.5017506,0.014583118,0.014648382,forensic
0.014536043,0.32940587,0.62711143,0.014394844,0.01455185,forensic
0.9815578,0.00457279,0.0046547763,0.004585465,0.004629192,forensic
0.0030025085,0.002994587,0.98803204,0.0029707868,0.0030001139,forensic
0.9594244,0.010117215,0.010148331,0.010108371,0.010201671,forensic
0.0021052335,0.0020767453,0.9916471,0.002072108,0.0020988132,forensic
0.025115704,0.025012719,0.89965636,0.025055937,0.02515933,forensic
0.0059593567,0.005893409,0.9764359,0.005841018,0.005870382,forensic
0.084499255,0.12954506,0.7746228,0.0056880065,0.005644835,forensic
0.020075727,0.020073427,0.919669,0.020027827,0.020154014,forensic
0.47300264,0.016886612,0.47620547,0.016706955,0.01719835,forensic
0.92585987,0.018383162,0.018767962,0.01839043,0.018598616,forensic
0.624113,0.0045766584,0.36212122,0.00461378,0.004575306,forensic
0.6152712,0.013420871,0.3441963,0.013348066,0.013763586,forensic
0.040041413,0.04004852,0.83989763,0.040002726,0.0400097,forensic
0.0032446154,0.0032091972,0.98709506,0.0032163365,0.00323478,forensic
0.006241963,0.0061745266,0.97530484,0.006105721,0.0061729415,forensic
0.32263753,0.0017294299,0.672171,0.0017251251,0.0017369412,forensic
0.100014314,0.100012235,0.5993574,0.100014314,0.100601695,forensic
0.014380557,0.014426675,0.94205934,0.0147891445,0.014344281,forensic
0.022379395,0.022341466,0.9106174,0.022408638,0.022253124,forensic
0.0060575553,0.0057773367,0.82132465,0.16101635,0.005824081,forensic
0.020182157,0.1444351,0.7947955,0.020413615,0.020173568,forensic
0.005488993,0.00545349,0.9781524,0.0054397383,0.0054653906,forensic
0.06710188,0.06727309,0.068222806,0.73041576,0.066986464,forensic
0.0033035672,0.0033329632,0.9867544,0.00330563,0.0033033872,forensic
0.06791054,0.06667147,0.73175585,0.066744566,0.06691759,forensic
0.49381322,0.01016498,0.4758167,0.010031592,0.010173539,forensic
0.008602011,0.0023106905,0.984441,0.0023065791,0.0023397,forensic
0.49920082,0.013397384,0.46032143,0.013502632,0.013577741,forensic
0.74203324,0.0045552445,0.24435915,0.0044818204,0.0045705214,forensic
0.005176665,0.005192701,0.9792242,0.005245293,0.005161098,forensic
0.015610718,0.0154372165,0.93796515,0.015502409,0.015484462,forensic
0.028696917,0.028963678,0.88514006,0.028575309,0.028624034,forensic
0.83035314,0.002869095,0.16099834,0.0028809016,0.0028984896,forensic
0.06667942,0.066681206,0.40016568,0.39889565,0.067578115,forensic
0.00407153,0.004040818,0.9838489,0.0040176404,0.004021088,forensic
0.0017823915,0.0017667239,0.9929055,0.0017712365,0.0017741438,forensic
